ulasan_clean,sentimen,,,,,,
mohon maaf developer fitur tambahan titik yang ada di awm tolong dihilangkan karena saya sebagai user awm merasa terganggu dengan hal tersebut sama deteksi nya terlalu sensitif padahal saya cuman memanfaatkan fitur tapi kenapa di kasih pelanggaran perilaku tidak baik dan di kurangin point,positif,,,,,,
makin diperbarui makin tidak jelas game ini apa an coba,positif,,,,,,
game burikk padahal sudah hampir heroic dan padahal sudah kill orang nya tinggal tapi masa cuma naik sedikit memang game burikk,positif,,,,,,
game tolol main ke room lain saya anjj padahal lagi main sama squad bahkan main ke orang tidak dikenal,negatif,,,,,,
tolong buat garena kalau mau diperbarui jangan mode yang seperti ini jjr saja maps yang sekarang bikin sakit mata balikin maps kami seperti semula,negatif,,,,,,
saya membuat keluhan atas saya itu sudah memakai data dan wifi sehingga saya tidak bisa masuk padahal disitu saya baru isi data dan tetap tidak masuk dan selalu keluar dari lobi dan keluar dari game saya mohon gangguan ini tolong di perbaiki lagi oke terima kasih,negatif,,,,,,
semenjak diperbarui pasti saja makin berat suka jelek tidak jelas,negatif,,,,,,
sangat asyik di mainkan di waktu luang mines nya sering lambat,netral,,,,,,
tolong minimal kalau update jangan di tambah hal yang tidak penting biar tidak berat dan bisa mencakup semua ponsel kayak dahulu perbaikan jaringn lagi dan gangguan kayak pesawat itu tidak pnting air drop kayak hujan buat saja game simpel yang natural kayak nyata tidak usah di buat berlebihan,negatif,,,,,,
tolong hapus gangguan damage saya capek sama gangguan damage sudah headshot tidak mati,negatif,,,,,,
makin lama ff makin tidak seru sudah ngekil dan sudah bermain cukup lama bahkan rankedqu yang trun tolong di perbaikan lagi,positif,,,,,,
kenapa skin yang dahulu susah didapetin bahkan sekarang mudah didapetin jadi sia ngumpulin dengan susah payah,negatif,,,,,,
kalau main cees pasti timnya pasti beronze padahal aku heroit memang bagus apdet nya tapi di perbaiki contoh beronzelawan beronze seperti,negatif,,,,,,
garena jangan separti ini saya sudah selesai donload center tapi disuruh donload lagi dari awal jangan seperti ini garena,negatif,,,,,,
umm bagaimana ya jelasin nyaa kalau malam suka lambat sendiri kenapa ya padahal sinyal bagus dan lancar loh tolong perbaikan tolong band citer dan yang memakai file satu lagi ketika saya bermain pelayanan pelanggan ranked kenapa saya tiba di mute whyy,positif,,,,,,
garena kok akun aku tidak bisa main csr dan baru setelah diperbarui kecuali pas login ulang akun aku kalau login tidak bisa langsung ke baru ataupun csr harus login ulang dahulu baru bisa main baru dan csrnya itu kenapa garena,positif,,,,,,
saya saat bermain game ini saya merasakan lambat parah padahal kouta saya masih banyak ngelagnya itu pas ketemu musuh lagi toolng garena di kondisikan ya,negatif,,,,,,
tolong kasih musuh sama tim yang seimbang saya menang × dan mvp semua tapi pas main lagi × kalah akan tidak lucu,negatif,,,,,,
game taii sinyal bagus tiba sinyalnya padahal sinyal handphone saya bagus banget game burix bodoo malas maen kalau seperti begini,netral,,,,,,
banyak pemain cheat aku mau ge kill musuh masa musuh nya tidak mati bagai mana game mau garena pls saya pegen naik rengk lol garena tolol saya terus kalah garena gentot,negatif,,,,,,
tambahkan fitur ganti kamera atau ubah posisi kamera atau semacam fov kamera begitu biar sensasi bermain game ini berbeda yang pasti tidak menghilangkan kualitas asli game ini,positif,,,,,,
garena tolong lah sinyalnyaa ngeleg mulu kalau ada musu ngeleg tapi kalau tidak ada musuh tidak ngeleh game jelek bandel old juga di kluari player old pada pensi tuh akun ke heck dan lain dahulu kulgar di pecat sekarang ganti apa lah tu saya jelas mending kulgar,negatif,,,,,,
garena tolong lah di benerin gangguan sinyal merah terus dari awal game sampai akhir game merah terus padahal jaringan lagi bagus nya,positif,,,,,,
gratis fire tidak seru mata saya jadi sakit tolong awannya di ganti jadi putih lagi garena flis biar seru lagi mata saya jadi sakit main nya awannya itu di ganti garena jadi putih lagi,negatif,,,,,,
kalau di diperbarui jangan map nya saja yang di perbarui jaringan nya juga masa saya nonton bagus saja jaringan nya giliran main ff turun naik terus pin nya tidak jelas gem ff nya padahal penyimpananku tidak penuh loh kok masih lambat ya agak lain nih ff jadi malas saya main kalau seperti begini mah mending hapus saja gem tidak jelas,negatif,,,,,,
request garena tolong dong di diperbarui baju yang bisa di edit nama sendiri pasti lebih keren,positif,,,,,,
tolong adakan fitur pengurangan efek agar penggunaan handphone ram bisa main dengan nyaman penyimpanan sudah lega tapi tetap patah tolong optimalisasi akan lagi dan kurangi efek yang bertimbul besar,negatif,,,,,,
kenapa saya kasih bintang lima karena dia seru dan bisa mabar dengan teman dan bisa top apa dan banyak bandel baru dan bagus dan bisa byon juga dan banyak map yang lain seperti kalahari nekstera bermuda dan banyak lagi yang lain,negatif,,,,,,
tolong handphone saya sering lagi and patah jadi gem ini ringanin,negatif,,,,,,
sekarang kasih bintang dahulu karena ini ada gangguan ff tombol glow wal nya kok hilang saya periksa tetap saja tolong di perbaiki gangguan nya gangguan nya ditraining aku temukan,negatif,,,,,,
gem cepat lambat atau patah dan kalau logen lama bagai mana cara tidak getuh,negatif,,,,,,
kalau ada tim afk atau keluar paksa tolong kasih shield buat rank tidak turun temurun terus buat baru cuma pemberitahuan mah kurang jujur agak kesel sama orang yang tukang afk kalau ada yang suka afk lebih dari kali di hukum saja tidak bisa main baru jam hukuman bgi saya itu terlalu rendah yang sudah ditetapkan ini rekomendasi biar yang sudah semangat naikin rank dapat kenyamanan shield dan juga kalau dapat kill tetapi mati di waktu dekat ksih bonus tambahan rank agar tidak menyebabkan kurangnya pemain,negatif,,,,,,
minimal tolong diperbarui nanti di perbaiki es kepal nya saya sudah otomatis tapi pas saya tekan kadang mau kadang tidak tolong ya,positif,,,,,,
kok kalau habis diperbarui besar besaran jadi aneh ya kayak akun tidak bisa login walauu sudah coba berkali kali tapi tetap tidak bisa tiba ada tulisan login success tolong di perbaikan jadi saya kasih bintang,positif,,,,,,
minimal tolong di perbaikan ya sering terjadi membaca informasi game isu jaringan padahal buat yt dan lain lain itu lancar tapi kenapa pas login ff itu trjadi membaca informasi game itu sangat mengangu karena tidak bisa main samasekali,positif,,,,,,
gamenya bagus sih tapi ada beberapa gangguan yang bikin aku kesel pertama paketan sudah ada tapi jaringan nya merah ke dua patah ke tiga suka unduh fails tolong di perbaikan pihak garena,negatif,,,,,,
gamenya seru banget dan banyak juga pilihan nya,negatif,,,,,,
tolong garena hilang akan lah gangguan setiap kali saya main langsung keluar dari area pertempuran dan kalau lagi ada musuh jarigan kalau sudah mati bagus sudah jariganya tolong diperbarui nanti makin bagus ya,negatif,,,,,,
gem ini sangat seru bisa memiliki teman baru,positif,,,,,,
jadi begini saya baru main setelah saya pensi beberapa tahun dan bikin akun baru nah pas saya coba game ini rasanya beda banget saya masuk mode pelayanan pelanggan rank yang sekarang sudah rank gold bertemu player habis itu saya kalah bahkan dikasih bot bagaimana mau gg player sekarang senjata beberapa kali tembak langsung knock ves sudah saya upgrade sampai level masih tembus serasa cheater padahal bukan yang dahulu bisa mekanik sekarang bahkan langsung knock memang sesakit itu senjata sekarang mohon di perbaiki,positif,,,,,,
game ini sangat ada perubahan saya tidak mau main game ini dahulu saya pernah main game ini sama teman saya tapi semenjak game ini di update teman teman saya sudah tidak main game ini lagi zaman ff yang dahulu tidaklah zaman sekarang banyak update dahulu seru sekarang tidak seru dahulu old sekarang new dahulu senang sekarang tidak senang jadi tolong kembalikan lah ff yang dahulu bukan yang sekarang,positif,,,,,,
seru sih tapi aku mohon aku mau melihat baju musuh skin senjata musuh dan emot musuh di baru ranked pelayanan pelanggan ranked training sosial island,negatif,,,,,,
saya sangat suka dengan game ini tetapi kok tidak bisa pakai bajunya sangat susah dan saya sudah mendownload slot saya yang kutelan miliki,positif,,,,,,
alasan kenapa saya kasih bintang adalah sering terjadi gangguan yang sangat meresahkan dan mungkin mengganggu gameplay,negatif,,,,,,
minimal bikin versi piece dong janji deh bakal main setiap hari kalau tidak sibuk pls ya,negatif,,,,,,
tolong perbaikan sistem match kalau bisa dibatasi oleh usia karena kenapa karena saya mengalami pengalaman yang tidak mengenakan di game ini masih banyak player yang masih dibawah umur dalam artian bocah saya sudah muak bertemu dengan player bocah yang tidak memiliki attitude dan yang terakhir kalau bisa item terdahulu jangan di keluarkan lagi itu sangat merugikan player lama saya sebagai player yang bermain dari season merasa dirugikan apabila item lama dikeluarkan lagi cukup sekian,negatif,,,,,,
ini ff nih kalau tidak berubah kayk dulu sih banyak yang tidak main lagi sudah saya kasih tahu ya itu set dllnya kalau sudah di donwload tidak usah di ulang lah bikin emosi orang saja sudah gemnya bagus memang tapi ya unduh diperbarui satu lagi nih itu pet nya tidak bisa di ilangin kalau ada di lobby dan jangan sering diperbarui dikit diperbarui yaelah menyulitkan tolong lah pengertian nya kita ini cuma mau main gem saja tanpa ada diperbarui unduh ulang kesell wee ini ff saya setia hari di diperbarui,negatif,,,,,,
ini kok tidak bisa main sih garena game mau sudah mulai error besok di perbaikan ya garena kalau sudah nanti aku main game mau lagi garena ya sudah bay,positif,,,,,,
woi ini ff saya kenapa minimal bahkan server gagal terus parah sih kecewa berat saya minimal sama lu,negatif,,,,,,
game yang dapat menghilang akan ke gabut an pokok nya bagus dan dapat menghibur,negatif,,,,,,
tolong dong kalau lagi war jangan tembus glowal musuhnya dan juga musuhnya anj tidak setara memberikan tim tidak setara juga,netral,,,,,,
game yang cocok saat sedang menunggu sesuatu jadi pas ada perlu bisa dimatikan karakternya tanpa kayak ml harus menang atau defeat sue,negatif,,,,,,
garena kenapa saya pas pengen login tiba akun fb saya bertulis tentang maaf ada yang tidak beres tolong dibenarkan,negatif,,,,,,
permainannya wow banget anjay gila saya mainin ini langsung jago anjir keren banget pokoknya permainan ini dari tadinya saya tidak bisa main ini dilatih latihan terus jadi bisa terus jago banget terusan sumpah sih sudah tidak menghabiskan banyak kuota juga tidak malu maluin data gila aa,negatif,,,,,,
game nya bagus banget kalok ada diperbarui ja di tambah bagus banget,netral,,,,,,
penyepong jakarta anj adminya kapan majunya tu game kalau eventnya jakarta mulu tolol lihat game lain sudah collab sama beberapa top lah ini jakarta terus bosen bdo memikirkan kalau memberikan temante jangan yang bot dong game kikir,positif,,,,,,
tolong lah garena jangan ada gangguan lagi lah,negatif,,,,,,
sebenarnya grafik game dan lain lain dari gratis firenya sudah cukup oke tapi ada dua keluhan yang bikin sedikit rumit yang pertama adalah biasanya kalau tidak dimainin semingguan kayak harus menunggu dari ke dan itu yang bikin paling malas dan keluhan kedua kalau diperbarui biasanya bundle yang aku beli tu hilang entah karena lagi atau memang disengaja dari pihak developer gratis firenya jadi untuk kali ini aku kasih bintang dahulu sampai semua lagi gangguan ini berakhir terima kasih you untuk developernyaa,negatif,,,,,,
game ini sangat bagus tetapi kenapa ya garena saya kalau nyepin tidak pernah hoki,netral,,,,,,
tolong lah minimal sinyal nya di perbaikan,netral,,,,,,
tolong lah ff dari segi gameplay sudah enak lo cuma kenapa dari dahulu sampai sekarang masih saja gangguan damage padahal jaringan bagus handphone bagus tolong di fixs gangguan damage,negatif,,,,,,
ff makin lama makin jelek jir kenapa karena ke banyak banget yang pakai file jadi susah buat lawan nya tambah lagi pakai laba anjg garena tolong lah jelek banget nih game,negatif,,,,,,
game ini seru dan mudah dimain akan kecuali jika musuhnya pro player kenapa saya mengasih bintang karena saya suka gratis fire saya mau garena membuat game ini lebih seru untuk menjadi game nomor di play store tapi beberapa tahun yang lalu saya kesal dengan game ini karena tim team saya tidak jago main,positif,,,,,,
login langsung ada bacaan membaca informasi geme,positif,,,,,,
saya sangat suka bermain epep sampai sekarang dahulu saya tidak pernah bermain epep saya tahu nya denger orang main saja sekarang saya sangat suka dengan epep terima kasih epep ahirnya saya menemukan gemes yang saya suka terima kasih epep,positif,,,,,,
minimal maaf banget ngsih bintang minimal tolong honor score nya di ilanginn soal nya aku kpngn main tetapi gbisa gara honor score,negatif,,,,,,
game bagus tapi jangan kasih team yang egois dong,negatif,,,,,,
saya pas main tidak taunya ngebuk tidak bisa main renked,negatif,,,,,,
bagus sih cuma kadang lambat tapi tidak apa apa lah dan juga kalau nambahin set gratisan itu yang bagus garena yang lucu,positif,,,,,,
grafik nya sangat baik,netral,,,,,,
ff saya kenapa ya kalau login tulisan nya maat error padahal saya punya paketan dan pakai wivi kok tidak bisa garena mati,negatif,,,,,,
gamenya bagus tapi ada kendala aku mau piperbarui,negatif,,,,,,
game nya jelek banyak anak kecil new yang make skill isi handphone dimohon di nerf game bot bodoh,negatif,,,,,,
bagus dan grafik nya hd,negatif,,,,,,
sebenarnya sih game nya tidak ada yang salah cuman yang saya permasalahin itu sistem report nya cok pas dibagian sabotase tim lah pokok nya ya kalau lu dapat tim beban akan pasti di report sengaja kalah ya nah itu dia cok yang saya permasalahin rata saya report sengaja kalah ke tim saya yang beban itu tidak kena pelanggaran mulu jir tolong lah garena saya sudah muak tapi giliran yang afk saja mah langsung kena? saran saya kasih lah pilihan report nya yang lain seperti misal tim beban begitu saja dari saya,negatif,,,,,,
gemenya suka ngefris akun kena bened tanpa sebab suka pata ngehabisin direct message juga karakter skill kadang kali tidak bisa aktif dan tidak bisa di geser kameranya tolong di perbaikan ya,positif,,,,,,
tolong wiffi pribadi saya bagus main epep sinyal tapi mencet skill delayy tolongg perbaikan sekarang,positif,,,,,,
sistem rank ff ini tidak ada otaknya naik poin cuma dikasih recehan tapi kalau turun langsung dirampok habis habisan kayak begini cuma bikin pemain jadi budak sistem yang tidak adil,negatif,,,,,,
kenapa akun kena blacklist padahal tidak pernah pakai chit cuma main biasaa layanan punn tidak di respons olehh garena akun satu nya bahkan di blacklist salah nya darimana garena,negatif,,,,,,
menurut saya pas apdet nya lama dan masih banyak gangguan tidak tahu kenapa bisa kayak begini tetapi setelah update sekarang makin bagus saja ya lama banyak yang jago,negatif,,,,,,
lakukan diperbarui pada shop agar item di shop tidak itu saja,negatif,,,,,,
apalah game tidak guna saya main pelayanan pelanggan dapat tim tidak bisa main semua njing kalau bikin game itu yang benar mana grafiknya jelek lagi,negatif,,,,,,
garena tolong kembalikan peak old kulgar elit pass item old atau evo gun jangan dikeluarkan lagi cukup kali bissmillah dijawab biar semua orang comback,negatif,,,,,,
cit garena game tidak jelas padahal aku sudah di balik tembok tapi masih bisa di tembak,negatif,,,,,,
ha enak dan lezat yang bisa kita untuk aku tidak mau jual mobil kesayangan anda ingin mengetahui ada tidaknya sebuah bintang kalian harus sekali dengan bang jali versi bang jali versi indonesia video lyrics here at least once again at least once again the gratis version of ini research di rumah makan dahulu pernah ada yang biru muda di mana iya ingin sekali rasanya ada hantu tadi ada yang biru muda biru dan putih di wajah anda lebih menyukai cara di rumah kosong bang telafall,positif,,,,,,
game bagus banget cocok ya sering kesepian mainkan game ini,positif,,,,,,
game ini membuat rasa stress saya hilang ayo plss ada event bagi diamond,negatif,,,,,,
sumpah padahal sudah ganti ff tapi bahkan tidak bisa main rank sama saja kayak di ff max terus tidak bisa masuk loading lama banget perbaikan gangguan nya deh tidak bi sa main rank lagi pokoknya harus di perbaikan,negatif,,,,,,
game nya seru bisa mabar bareng teman kalau bisa seloby orang ya minimal biar tambah seru hehe,negatif,,,,,,
ff sudah tidak kayak dahulu lagi sudah tidak seru makin hari bukannya makin bagus makin jelek dan bundel old sering di keluar in lagi seperti god royal di keluar in tolong garena jangan keluar in bundel old aku tahu pasti player new ingin merasakan bundel old tetapi jangan di keluar in niru saja ff sudah tidak seru lagi,negatif,,,,,,
masih ada gangguan yang sangat mengganggu dan sinyal nya terus terusan merah aneh banget,negatif,,,,,,
ini game kesukaan saya main sampai begadang ini ril bagus walaupun tidak ada pintu tapi ini bagus mirip game kesukaan saya yaitu perang,negatif,,,,,,
permainannya bagus tapi kenapa tidak ada pintunya,negatif,,,,,,
semenjak diperbarui peredam sama muzzle attachment tidak setara muzzle yang terpasang otomatis terganti dengan peredam tolong ya minimal tidak semua orang suka pakai peredam saya pakai mp buat jarak dekat kalau lewat looting muzzle langsung ke ganti sama peredam dan itu mengurangi damage saya player merasa terganggu kembalikan seperti dulu muzzle setara dengan peredam,negatif,,,,,,
sangat menhibur dan mudah di akses,positif,,,,,,
ff sangat enak untuk di mainkan dan mabar sama teman,positif,,,,,,
game ini bagus dan tapi tolong kalau apdet lagi game nya harus bisa offline dan daring,positif,,,,,,
saya kira bakal nge bug kayak yang dulu rupanya kebalikan nya tapi untuk ini ada kekurangan kenapa semua harus pakai direct message top up dan lain lain,negatif,,,,,,
padahal game nya bagus pas balik main game ini lagi tiba saya tidak bisa masuk ke akun saya lagi kata nya akun saya ada aktivitas abnormal padahal belum saya mainin,negatif,,,,,,
sosialnya dibenerin lah minimal masak kali masuk sosial itu mulu orngnya tidak seru minimal jadi bosen main ini game terima kasih,positif,,,,,,
gangguan damage nya tolong di ilangin ya,negatif,,,,,,
akun saya hilang cok padahal semalem masih ada pas aku mau masuk ke akun google tiba ada tulisan unknown error tolong garena balikin akun aku sudah rawat akun itu dari tahun lu tidak kasian sama saya masih anak kecil sudah kehilangan akun yang sudah saya top up in hampir sejuta,negatif,,,,,,
kenapa gratis fire sekarang jadi tambah nge lagi bukan lagi layar ataupun di lobby tapi lagi di gameplay ketika saya di tembak musuh pun sinyal naik dan kemudian menjadi merah padahal sinyal di handphone saya normal dan baik saja hanya itu mohon bantuannya,negatif,,,,,,
mau tanya tadi aku main rank tiba tereliminasi terus ada bacaan di eliminasi oleh sistem karena perilaku abnormal padalah saya tidak pakai bantuan kayak chet atau apa lah tapi kok bisa begini tidak jelas anjir parahh,negatif,,,,,,
sangat seru dan menyenangkan dalam game yang baru seperti witerlend,positif,,,,,,
tolol banget sumpah semakin di perbarui semakin tidak bisa di mainin,negatif,,,,,,
game ini sangat bagus dan di suka semua orang terima kasih garena sudah membuat ff,positif,,,,,,
aku cuma kasih bintang satu karena ada tulisan starting terus di ep saya tidak guna tahu tidak tolong di perbaikan lagi contoh hacker di ilangin saya jadi bronze abadi,positif,,,,,,
bintang dahulu de soalnya kalau lama kelamaan ngelet jaringannya biar tidak mera tetap pata,positif,,,,,,
apa sudah pas main baru mode bahkan jadi solo sudah tunggu menit lagi tidak jelas,positif,,,,,,
gem ya seru tapi ngelek dan yepin ya susah banget tidak dapat,negatif,,,,,,
kenapa setelah diperbarui aim nya jadi aneh minimal serius ini,negatif,,,,,,
sudah headshot tapi damage tidak kehitung dan masuh tidak mati,netral,,,,,,
bagus tapi kadang nge lagi garena tolong perbaikan sistem naik turunnya ping,negatif,,,,,,
tolong di perbaiki lagi gangguan cheat dan report nya menurut saya perlu sangat ditindak lanjuti dan diberikan sanksi tegas kepada pemain yang bersikap tidak sopan dan merugikan banyak sekali player yang bersikap bertutur dan berperilaku tidak baik bahkan tidak senonoh dan menjurus hal mohon lebih ditindak lanjuti dan dioptimalkan lagi,negatif,,,,,,
bagus aku suka walaupun tidak ada pintu pokok nya bagus,negatif,,,,,,
sangt menghibur dan bisa menghilangkan stres,negatif,,,,,,
kok kalau sudah di diperbarui akun aku hilang ya tolong dong itu kenapa,netral,,,,,,
membosankan ff evenya tidak ada prubahan sudah mah di batas naikin skor honornya bosenn cba tolong dong di batesnya ke jangan sdikit,negatif,,,,,,
bagus tapi gangguan demeg dihilangkan dan respons analognya di perbaikan kadang ketika masang glowal analog nya ikut mencet padahal tidak di tekan tolong sekali garena di perbaikan se maksimal mungkin,positif,,,,,,
aku sangat menikmati permainan in cuman syg nya aun aku akan beli tolong di lepaskn beli nya garena,positif,,,,,,
ya ini game favorit aku kasih bintang kalau garena mau memberikan diamond aku tidak apa apa se ikhlas nya,positif,,,,,,
garena aku ingin ff seper tidulu lagi sekarang aku sedih karena ff sudah tidak sepeti dahulu lagi,negatif,,,,,,
tolong garena di diperbarui lagi dan kasih emot gratis terima kasih ya awakening gratis nya,positif,,,,,,
jaringannya di perbaiki admin masa jaringan bagus tiba ping akan ngawor banget server nya tolong kalau sudah di perbaiki baru ulasan biasa,positif,,,,,,
wifi lancar tapi giliran main game suka ngeleg demage tidak masuk apa lagi seluncuran aneh nya lompat dikit otomatis seluncuran,positif,,,,,,
selama diperbarui kalau saya main kok stak ya tolong di perbaikan secepatnya,positif,,,,,,
ini bagaimana masa iya saya di hukum tidak bisa on mic sama wishper bagaimana ceritanya garena kalau mau nurunin honor sekor oke lah saya juga salah karena saya afk tapi kalau tidak bisa on mic mending memikirkan lagi sebelum banyak yang pensi lagi,negatif,,,,,,
game yang seru dan menyenangkan bermain bersama te man mabar,positif,,,,,,
kok sekarang game nya suka jelek sama lagi ya padahal jaringan bagus sama device masih mumpuni tolong cpet perbaikan ya cuma itu saja soal game tidak usah di bicarain soal nya seru sudah menemani dari sudah kelas sampai smk kelas,negatif,,,,,,
saya mengasih bintang lima game ini sangat populer dan enak dimain akan aku selalu memain dengan enak yang membuat aku marah karena akun saya ke hace itulah alasan aku marah,positif,,,,,,
game ini sangat bagus semoga game ini akan sukses dan terima kasih kepada garena telah memberikan event baru dan skin baru tapi tolong garena bisa memberikan diamond gratis dan senjata gratis tapi yang keren tolong ya garena karena banyak orang yang tidak mampu top up dan susah hidupnya tolong ya garena tolong dan itu saja semoga kamu membalas nya tim pembuat game garena terima kasih,positif,,,,,,
gamenya seru tapi gara game ini saya ke rip,negatif,,,,,,
sekarang sudah dikit yang mainin geme ini ya karena kulgar di pecat lah karena peak old di ilangin lah karena handphone tidak kuat hmm garena coba saja semuanya di balikin seperti dulu pasti player old balik semua benaran sudah sumpah,negatif,,,,,,
jaringan bagus tetapi tapi saat ada musuh sinyal jelek itu bagaimana pendapat nya tolong di perbaikan,negatif,,,,,,
oi garena baca komen saya bikin game yang adil garena tod kasih tim yang adil cok kalau tidak saya laporin game nya,positif,,,,,,
game nya bagus tapi labih bagus lagi kalau ada mode offline nya nanti kalau sudah ada mode offline nya saya kasih bintang,negatif,,,,,,
mimin tolong bisa tidak perbarui senjata shotgun baru nya jangan isi peluru tambahan satu peluru saja karena senjata itu bagus buat pepeng sot tolong ya mimin garena,negatif,,,,,,
game nya bagus saja tapi kenapa aku ksih bintang karena pas main selalu lambat padahal sinyal saya bagus kenapa ngeleg setiap ada musuh langsungg ngeleg padahal sinyal saya bagus tolong di perbaiki ya,negatif,,,,,,
jika score kurang dari kenapa tidak bisa main baru pelayanan pelanggan rank dan on mic juga tidak bisa sih apalah game ini tidak kayak game lain tolong admin bikin score jika kurang dari baru tidak bisa on mic main baru dan pelayanan pelanggan rank,positif,,,,,,
geme ya bagus banget tapi ada yang kuran garena tanbahing mode pvp bintan dahulu kalau ada mode pvp baru aku kasih bintan asalamualaikum,netral,,,,,,
game ini seru tapi ada gangguan saya lagi enak main bahkan keluar sendiri tolong perbaikan ya minimal,negatif,,,,,,
game gratis fire ini sangat bagus tapi tolong lah garena buff senjata shotgun terbaru demeg reng tambah kapasitas peluru dan kurangi reloat sepit,negatif,,,,,,
punya saya tidak bisa login padahal siyal bagus keren garena,negatif,,,,,,
saya merasa ff tidak sebagus dahulu jadi saya pemain dan pensi dan saya memutuskan untuk melihat perkembangan ff sekarang tapi saya sangat kecewa soalnya data untuk menyimpan ff ini sangat besar tapi grafiknya tidak banyak yang berkembang dan banyak bandle old dikeluarkan lagi tapi warnanya diubah ubah untuk event memang developernya tidak punya ide yang menarik begitu tidak kayak dahulu,negatif,,,,,,
kenapa saya beri bintang satu karena map nya sudah di ganti dan top global epep sudah pensi dan tidak ramai seperti dahulu lagi,negatif,,,,,,
tolong untuk admin garena kalau lagi perang jangan di buat ngelek dan setiap main mode pelayanan pelanggan rank kenapa musuh nya sangat pro dan angota tim kurang mendukung,netral,,,,,,
ngelek banget suu padahal jaringan sudah bagus,positif,,,,,,
saya dahulu tidak bisa harus hapus aplikasi tiba bisa pas tidak hapus aplikasi,negatif,,,,,,
gem ini lebih enak di main akan ketika mendengarkan son belacau,positif,,,,,,
untuk garena tolong di perbaikan gangguan jaringan itu sangatlah meresa,positif,,,,,,
aduh bagaimana sih diperbarui terbaru malah isinya gangguan demeg masa di tembak tidak mati kebal banget game rusak,negatif,,,,,,
tim tidak ngotak bot ya minta ampun terus musuhnya jago game tidak jelas,negatif,,,,,,
semenjak permainan pelayanan pelanggan ranked saya sudah menang pas saya baca nama pemain musuh bahkan kayak teman sendiri jadi bot tombol tembak tidak bisa di tekan aneh banget,negatif,,,,,,
game jelek banyak citernya coba kalok buat game sistem pertahanannya di perkuatan banyak citer sama ada pemain pakai file tolong hargai kami player murni sama ada ganggu sinyal parah punya saya forji tolong di perbaikan,negatif,,,,,,
kenapa saya kasih bintang karena bukanya map pik old di keluar in bahkan map seluncuran di keluar in ah bagaimana ya bukannya meng hina tapi tolong lah buat garena tolong peak old di keluar in lagi dan lagi ellit pas di keluarkan lagi dan kulgar tolong terima lagi ya garena tolong,negatif,,,,,,
game bagus banget tapi gacanya kebanyakan diamon tolong kurangin terima kasih,positif,,,,,,
makin lama makin tidak jelas ini game makin hd tapi tombol tombolnya sekarang yang susah di kendaliin tekan glowal cepat tidak bisa habis masang glowal tbtb nembak sendiri tidak jelas,negatif,,,,,,
game nya bagus tapi tolong dibenerin soal jaringan nya padahal jaringan saya bagus tapi kok di game nya saya sering ngeleg kadang kuning kadang juga merah padahal game nya bagus loo tapi isu jaringan itu yang buat tidak nyamannya semoga bisa ditingkatkan lagi atau di benerin ya soal isu jaringan nyaa dan gangguan yang lainnya,positif,,,,,,
