ulasan_clean,sentimen
saya sangat suka dengan game ini tetapi kok tidak bisa pakai bajunya sangat susah dan saya sudah mendownload slot saya yang kutelan miliki,1
alasan kenapa saya kasih bintang adalah sering terjadi bug yang sangat meresahkan dan mungkin mengganggu gameplay,-1
minimal bikin versi piece dong janji deh bakal main setiap hari kalau tidak sibuk pls ya,-1
tolong perbaikan sistem match kalau bisa dibatasi oleh usia karena kenapa karena saya mengalami pengalaman yang tidak mengenakan di game ini masih banyak player yang masih dibawah umur dalam artian bocah saya sudah muak bertemu dengan player bocah yang tidak memiliki attitude dan yang terakhir kalau bisa item terdahulu jangan di keluarkan lagi itu sangat merugikan player lama saya sebagai player yang bermain dari season merasa dirugikan apabila item lama dikeluarkan lagi cukup sekian,-1
ini ff nih kalau tidak berubah kayk dulu sih banyak yang tidak main lagi sudah saya kasih tahu ya itu set dllnya kalau sudah di donwload tidak usah di ulang lah bikin emosi orang saja sudah gemnya bagus memang tapi ya unduh diperbarui satu lagi nih itu pet nya tidak bisa di ilangin kalau ada di lobby dan jangan sering diperbarui dikit diperbarui yaelah menyulitkan tolong lah pengertian nya kita ini cuma mau main gem saja tanpa ada diperbarui unduh ulang kesell wee ini ff saya setia hari di diperbarui,-1
ini kok tidak bisa main sih garena game mau sudah mulai error besok di perbaikan ya garena kalau sudah nanti aku main game mau lagi garena ya sudah bay,1
woi ini ff saya kenapa minimal bahkan server gagal terus parah sih kecewa berat saya minimal sama lu,-1
game yang dapat menghilang akan ke gabut an pokok nya bagus dan dapat menghibur,-1
game yang cocok saat sedang menunggu sesuatu jadi pas ada perlu bisa dimatikan karakternya tanpa kayak ml harus menang atau defeat sue,-1
garena kenapa saya pas pengen login tiba akun fb saya bertulis tentang maaf ada yang tidak beres tolong dibenarkan,-1
permainannya wow banget anjay gila saya mainin ini langsung jago anjir keren banget pokoknya permainan ini dari tadinya saya tidak bisa main ini dilatih latihan terus jadi bisa terus jago banget terusan sumpah sih sudah tidak menghabiskan banyak kuota juga tidak malu maluin data gila aa,-1
penyepong jakarta anj adminya kapan majunya tu game kalau eventnya jakarta mulu tolol lihat game lain sudah collab sama beberapa top lah ini jakarta terus bosen bdo memikirkan kalau memberikan temante jangan yang bot dong game kikir,1
tolong lah garena jangan ada bug lagi lah,1
sebenarnya grafik game dan lain lain dari gratis firenya sudah cukup oke tapi ada dua keluhan yang bikin sedikit rumit yang pertama adalah biasanya kalau tidak dimainin semingguan kayak harus menunggu dari ke dan itu yang bikin paling malas dan keluhan kedua kalau diperbarui biasanya bundle yang aku beli tu hilang entah karena lagi atau memang disengaja dari pihak developer gratis firenya jadi untuk kali ini aku kasih bintang dahulu sampai semua lagi bug ini berakhir terima kasih you untuk developernyaa,-1
tolong lah ff dari segi gameplay sudah enak lo cuma kenapa dari dahulu sampai sekarang masih saja bug damage padahal jaringan bagus handphone bagus tolong di fixs bug damage,-1
ff makin lama makin burik jir kenapa karena ke banyak banget yang pakai file jadi susah buat lawan nya tambah lagi pakai laba anjg garena tolong lah burik banget nih game,-1
game ini seru dan mudah dimain akan kecuali jika musuhnya pro player kenapa saya mengasih bintang karena saya suka gratis fire saya mau garena membuat game ini lebih seru untuk menjadi game nomor di play store tapi beberapa tahun yang lalu saya kesal dengan game ini karena tim team saya tidak jago main,1
login langsung ada bacaan membaca informasi geme,1
saya sangat suka bermain epep sampai sekarang dahulu saya tidak pernah bermain epep saya tahu nya denger orang main saja sekarang saya sangat suka dengan epep terima kasih epep ahirnya saya menemukan gemes yang saya suka terima kasih epep,1
minimal maaf banget ngsih bintang minimal tolong honor score nya di ilanginn soal nya aku kpngn main tetapi gbisa gara honor score,-1
game bagus tapi jangan kasih team yang egois dong,-1
saya pas main tidak taunya ngebuk tidak bisa main renked,-1
bagus sih cuma kadang lambat tapi tidak apa apa lah dan juga kalau nambahin set gratisan itu yang bagus garena yang lucu,1
ff saya kenapa ya kalau login tulisan nya maat error padahal saya punya paketan dan pakai wivi kok tidak bisa garena mati,-1
gamenya bagus tapi ada kendala aku mau piperbarui,-1
game nya burik banyak anak kecil new yang make skill isi handphone dimohon di nerf game bot bodoh,1
bagus dan grafik nya hd,-1
sebenarnya sih game nya tidak ada yang salah cuman yang saya permasalahin itu sistem report nya cok pas dibagian sabotase tim lah pokok nya ya kalau lu dapat tim beban akan pasti di report sengaja kalah ya nah itu dia cok yang saya permasalahin rata saya report sengaja kalah ke tim saya yang beban itu tidak kena pelanggaran mulu jir tolong lah garena saya sudah muak tapi giliran yang afk saja mah langsung kena? saran saya kasih lah pilihan report nya yang lain seperti misal tim beban begitu saja dari saya,-1
gemenya suka ngefris akun kena bened tanpa sebab suka pata ngehabisin direct message juga karakter skill kadang kali tidak bisa aktif dan tidak bisa di geser kameranya tolong di perbaikan ya,1
tolong wiffi pribadi saya bagus main epep sinyal tapi mencet skill delayy tolongg perbaikan sekarang,1
sistem rank ff ini tidak ada otaknya naik poin cuma dikasih recehan tapi kalau turun langsung dirampok habis habisan kayak begini cuma bikin pemain jadi budak sistem yang tidak adil,-1
kenapa akun kena blacklist padahal tidak pernah pakai chit cuma main biasaa layanan punn tidak di respons olehh garena akun satu nya bahkan di blacklist salah nya darimana garena,-1
menurut saya pas apdet nya lama dan masih banyak bug tidak tahu kenapa bisa kayak begini tetapi setelah update sekarang makin bagus saja ya lama banyak yang jago,-1
lakukan diperbarui pada shop agar item di shop tidak itu saja,-1
apalah game tidak guna saya main pelayanan pelanggan dapat tim tidak bisa main semua njing kalau bikin game itu yang benar mana grafiknya burik lagi,1
garena tolong kembalikan peak old kulgar elit pass item old atau evo gun jangan dikeluarkan lagi cukup kali bissmillah dijawab biar semua orang comback,-1
cit garena game tidak jelas padahal aku sudah di balik tembok tapi masih bisa di tembak,-1
ha enak dan lezat yang bisa kita untuk aku tidak mau jual mobil kesayangan anda ingin mengetahui ada tidaknya sebuah bintang kalian harus sekali dengan bang jali versi bang jali versi indonesia video lyrics here at least once again at least once again the gratis version of ini research di rumah makan dahulu pernah ada yang biru muda di mana iya ingin sekali rasanya ada hantu tadi ada yang biru muda biru dan putih di wajah anda lebih menyukai cara di rumah kosong bang telafall,1
game bagus banget cocok ya sering kesepian mainkan game ini,1
game ini membuat rasa stress saya hilang ayo plss ada event bagi diamond,-1
sumpah padahal sudah ganti ff tapi bahkan tidak bisa main rank sama saja kayak di ff max terus tidak bisa masuk loading lama banget perbaikan bug nya deh tidak bi sa main rank lagi pokoknya harus di perbaikan,-1
game nya seru bisa mabar bareng teman kalau bisa seloby orang ya minimal biar tambah seru hehe,-1
ff sudah tidak kayak dahulu lagi sudah tidak seru makin hari bukannya makin bagus makin jelek dan bundel old sering di keluar in lagi seperti god royal di keluar in tolong garena jangan keluar in bundel old aku tahu pasti player new ingin merasakan bundel old tetapi jangan di keluar in niru saja ff sudah tidak seru lagi,-1
masih ada bug yang sangat mengganggu dan sinyal nya terus terusan merah aneh banget,-1
ini game kesukaan saya main sampai begadang ini ril bagus walaupun tidak ada pintu tapi ini bagus mirip game kesukaan saya yaitu perang,-1
permainannya bagus tapi kenapa tidak ada pintunya,-1
semenjak diperbarui peredam sama muzzle attachment tidak setara muzzle yang terpasang otomatis terganti dengan peredam tolong ya minimal tidak semua orang suka pakai peredam saya pakai mp buat jarak dekat kalau lewat looting muzzle langsung ke ganti sama peredam dan itu mengurangi damage saya player merasa terganggu kembalikan seperti dulu muzzle setara dengan peredam,-1
sangat menhibur dan mudah di akses,1
ff sangat enak untuk di mainkan dan mabar sama teman,1
game ini bagus dan tapi tolong kalau apdet lagi game nya harus bisa offline dan daring,1
saya kira bakal nge bug kayak yang dulu rupanya kebalikan nya tapi untuk ini ada kekurangan kenapa semua harus pakai direct message top up dan lain lain,-1
padahal game nya bagus pas balik main game ini lagi tiba saya tidak bisa masuk ke akun saya lagi kata nya akun saya ada aktivitas abnormal padahal belum saya mainin,-1
sosialnya dibenerin lah minimal masak kali masuk sosial itu mulu orngnya tidak seru minimal jadi bosen main ini game terima kasih,1
bug damage nya tolong di ilangin ya,1
akun saya hilang cok padahal semalem masih ada pas aku mau masuk ke akun google tiba ada tulisan unknown error tolong garena balikin akun aku sudah rawat akun itu dari tahun lu tidak kasian sama saya masih anak kecil sudah kehilangan akun yang sudah saya top up in hampir sejuta,-1
kenapa gratis fire sekarang jadi tambah nge lagi bukan lagi layar ataupun di lobby tapi lagi di gameplay ketika saya di tembak musuh pun sinyal naik dan kemudian menjadi merah padahal sinyal di handphone saya normal dan baik saja hanya itu mohon bantuannya,-1
mau tanya tadi aku main rank tiba tereliminasi terus ada bacaan di eliminasi oleh sistem karena perilaku abnormal padalah saya tidak pakai bantuan kayak chet atau apa lah tapi kok bisa begini tidak jelas anjir parahh,-1
sangat seru dan menyenangkan dalam game yang baru seperti witerlend,1
tolol banget sumpah semakin di perbarui semakin tidak bisa di mainin,-1
game ini sangat bagus dan di suka semua orang terima kasih garena sudah membuat ff,1
aku cuma kasih bintang satu karena ada tulisan starting terus di ep saya tidak guna tahu tidak tolong di perbaikan lagi contoh hacker di ilangin saya jadi bronze abadi,1
bintang dahulu de soalnya kalau lama kelamaan ngelet jaringannya biar tidak mera tetap pata,1
apa sudah pas main baru mode bahkan jadi solo sudah tunggu menit lagi tidak jelas,1
gem ya seru tapi ngelek dan yepin ya susah banget tidak dapat,-1
kenapa setelah diperbarui aim nya jadi aneh minimal serius ini,-1
bagus tapi kadang nge lagi garena tolong perbaikan sistem naik turunnya ping,-1
tolong di perbaiki lagi bug cheat dan report nya menurut saya perlu sangat ditindak lanjuti dan diberikan sanksi tegas kepada pemain yang bersikap tidak sopan dan merugikan banyak sekali player yang bersikap bertutur dan berperilaku tidak baik bahkan tidak senonoh dan menjurus hal mohon lebih ditindak lanjuti dan dioptimalkan lagi,-1
bagus aku suka walaupun tidak ada pintu pokok nya bagus,-1
sangt menghibur dan bisa menghilangkan stres,-1
membosankan ff evenya tidak ada prubahan sudah mah di batas naikin skor honornya bosenn cba tolong dong di batesnya ke jangan sdikit,-1
bagus tapi bug demeg dihilangkan dan respons analognya di perbaikan kadang ketika masang glowal analog nya ikut mencet padahal tidak di tekan tolong sekali garena di perbaikan se maksimal mungkin,1
aku sangat menikmati permainan in cuman syg nya aun aku akan beli tolong di lepaskn beli nya garena,1
ya ini game favorit aku kasih bintang kalau garena mau memberikan diamond aku tidak apa apa se ikhlas nya,1
garena aku ingin ff seper tidulu lagi sekarang aku sedih karena ff sudah tidak sepeti dahulu lagi,-1
tolong garena di diperbarui lagi dan kasih emot gratis terima kasih ya awakening gratis nya,1
jaringannya di perbaiki admin masa jaringan bagus tiba ping akan ngawor banget server nya tolong kalau sudah di perbaiki baru ulasan biasa,1
wifi lancar tapi giliran main game suka ngeleg demage tidak masuk apa lagi seluncuran aneh nya lompat dikit otomatis seluncuran,1
selama diperbarui kalau saya main kok stak ya tolong di perbaikan secepatnya,1
ini bagaimana masa iya saya di hukum tidak bisa on mic sama wishper bagaimana ceritanya garena kalau mau nurunin honor sekor oke lah saya juga salah karena saya afk tapi kalau tidak bisa on mic mending memikirkan lagi sebelum banyak yang pensi lagi,-1
game yang seru dan menyenangkan bermain bersama te man mabar,1
kok sekarang game nya suka ngestak sama lagi ya padahal jaringan bagus sama device masih mumpuni tolong cpet perbaikan ya cuma itu saja soal game tidak usah di bicarain soal nya seru sudah menemani dari sudah kelas sampai smk kelas,1
saya mengasih bintang lima game ini sangat populer dan enak dimain akan aku selalu memain dengan enak yang membuat aku marah karena akun saya ke hace itulah alasan aku marah,1
game ini sangat bagus semoga game ini akan sukses dan terima kasih kepada garena telah memberikan event baru dan skin baru tapi tolong garena bisa memberikan diamond gratis dan senjata gratis tapi yang keren tolong ya garena karena banyak orang yang tidak mampu top up dan susah hidupnya tolong ya garena tolong dan itu saja semoga kamu membalas nya tim pembuat game garena terima kasih,1
gamenya seru tapi gara game ini saya ke rip,-1
sekarang sudah dikit yang mainin geme ini ya karena kulgar di pecat lah karena peak old di ilangin lah karena handphone tidak kuat hmm garena coba saja semuanya di balikin seperti dulu pasti player old balik semua benaran sudah sumpah,-1
jaringan bagus tetapi tapi saat ada musuh sinyal jelek itu bagaimana pendapat nya tolong di perbaikan,-1
oi garena baca komen saya bikin game yang adil garena tod kasih tim yang adil cok kalau tidak saya laporin game nya,1
game nya bagus tapi labih bagus lagi kalau ada mode offline nya nanti kalau sudah ada mode offline nya saya kasih bintang,-1
mimin tolong bisa tidak perbarui senjata shotgun baru nya jangan isi peluru tambahan satu peluru saja karena senjata itu bagus buat pepeng sot tolong ya mimin garena,-1
game nya bagus saja tapi kenapa aku ksih bintang karena pas main selalu lambat padahal sinyal saya bagus kenapa ngeleg setiap ada musuh langsungg ngeleg padahal sinyal saya bagus tolong di perbaiki ya,-1
jika score kurang dari kenapa tidak bisa main baru pelayanan pelanggan rank dan on mic juga tidak bisa sih apalah game ini tidak kayak game lain tolong admin bikin score jika kurang dari baru tidak bisa on mic main baru dan pelayanan pelanggan rank,1
game ini seru tapi ada bug saya lagi enak main bahkan keluar sendiri tolong perbaikan ya minimal,1
game gratis fire ini sangat bagus tapi tolong lah garena buff senjata shotgun terbaru demeg reng tambah kapasitas peluru dan kurangi reloat sepit,-1
punya saya tidak bisa login padahal siyal bagus keren garena,-1
saya merasa ff tidak sebagus dahulu jadi saya pemain dan pensi dan saya memutuskan untuk melihat perkembangan ff sekarang tapi saya sangat kecewa soalnya data untuk menyimpan ff ini sangat besar tapi grafiknya tidak banyak yang berkembang dan banyak bandle old dikeluarkan lagi tapi warnanya diubah ubah untuk event memang developernya tidak punya ide yang menarik begitu tidak kayak dahulu,-1
kenapa saya beri bintang satu karena map nya sudah di ganti dan top global epep sudah pensi dan tidak ramai seperti dahulu lagi,-1
ngelek banget suu padahal jaringan sudah bagus,1
saya dahulu tidak bisa harus hapus aplikasi tiba bisa pas tidak hapus aplikasi,-1
gem ini lebih enak di main akan ketika mendengarkan son belacau,1
untuk garena tolong di perbaikan bug jaringan itu sangatlah meresa,1
aduh bagaimana sih diperbarui terbaru malah isinya bug demeg masa di tembak tidak mati kebal banget game rusak,-1
tim tidak ngotak bot ya minta ampun terus musuhnya jago game tidak jelas,-1
semenjak permainan pelayanan pelanggan ranked saya sudah menang pas saya baca nama pemain musuh bahkan kayak teman sendiri jadi bot tombol tembak tidak bisa di tekan aneh banget,-1
game burik banyak citernya coba kalok buat game sistem pertahanannya di perkuatan banyak citer sama ada pemain pakai file tolong hargai kami player murni sama ada ganggu sinyal parah punya saya forji tolong di perbaikan,-1
kenapa saya kasih bintang karena bukanya map pik old di keluar in bahkan map seluncuran di keluar in ah bagaimana ya bukannya meng hina tapi tolong lah buat garena tolong peak old di keluar in lagi dan lagi ellit pas di keluarkan lagi dan kulgar tolong terima lagi ya garena tolong,-1
game bagus banget tapi gacanya kebanyakan diamon tolong kurangin terima kasih,1
makin lama makin tidak jelas ini game makin hd tapi tombol tombolnya sekarang yang susah di kendaliin tekan glowal cepat tidak bisa habis masang glowal tbtb nembak sendiri tidak jelas,-1
game nya bagus tapi tolong dibenerin soal jaringan nya padahal jaringan saya bagus tapi kok di game nya saya sering ngeleg kadang kuning kadang juga merah padahal game nya bagus loo tapi isu jaringan itu yang buat tidak nyamannya semoga bisa ditingkatkan lagi atau di benerin ya soal isu jaringan nyaa dan bug yang lainnya,1
kenpa semakin sering diperbarui semakin rusak handphone saya yang awal nya tidak nge frame sekarang ngeframe macet bukan di tidak handphone saya saja di handphone teman saya juga begitu tolong di perbaikan ini mah semakin di diperbarui semakin mengecewakan,1
sangat cocok bagi anda yang mau merasakan sensasi memainkan game ini cocok untuk didownload saya sarankan,-1
bagus cuma meresahkan banget saya lagi main parkur saya tidak tekan tombol lari bahkan lari tidak jelas sudah mending hapus saja game gagal,-1
game ini sebenarnya bagus tapi sedikit ngeleg terkadang lagi lawan musuh tiba macet terus suka keluar sendiri apalagi kalau diperbarui pasti makin ngeleg jadi tolong kedepannya di perbaiki tapi maaf aku kasih bintang tiga ya,1
tolong buat kedepannya jangan ada lagi bug jaringan contohny lagi dalam game setiap ketemu musuh jaringanny selalu naik jelek tapi pas mati nonton teman pasti bagus tuh jaringan,-1
ff makin rusak mohon garena perbaikan saya nembak musuh tetapi tidak mati sampai demage saya tapi musuhnya tidak mati bukan karena jaringan tetapi bug demage,-1
game tidak memuaskan karena kita mines nya gampang sekali tapi kita kil di mode rengk estek cuman naik dua pulu bagaimana sih garena tidak jelas kalin,1
gara diperbarui ff nya jadi sering nge lagi sendiri apalagi saat main rank suka lambat tidak jelas,-1
tolong untuk devoloper game nya di benerin jangan cuma diperbarui nya saja yang meriah tapi masih banyak bug terutama bug damage padahal aim sudah mengenai kepala kenapa tidak mati pas di lihat darah masih penuh tolong dong bug nya di benerin jangan cuma diperbarui nya saja,1
ff bagus banget grafik bagus pokoknya mantap sudah,1
game nya bagus banget walaupun saya cewe tapi saya suka sama gamenya baru unduh akan aku langsung main lama aku booyah terus jadi sudah level sekian teri terima kasih,1
ff burik masa gaca butuh lebih yang ter akhir susah sumpah garena tidak mikirin yang nabung buat top apa mau gaca yang dia mau eh tapi tidak dapat sumpah saya muak sama garena semoga di balas,-1
makin diperbarui makin berat bahkan sinyal pun tidak kuat buat tanggung nya,-1
gjls semenjak diperbarui sinyal rusak padahal wifi lancar damage delay,-1
gem nya bagus tapi kolo kita ingin dolnot gem lain harus hapus gem ini,-1
oi bnerinlah masa saya login tidak bisa jaringan mandahal oke,1
aku suka permainan ini karena bisa mabar dan lain,1
game nya bagus banget tambahin fitur iclik ya biar tambah estetik,1
geme nya bagus bang et saya jadi ketagihan main setialhari sampai saya jadi pro dan naik kepangkat tertinggi,1
game ini bagus grafiknya keren game ini juga punya map crefland aku rekomendasi map yang cocok untuk melatih headshot kita nama map nya pepeng shotonlyi pokoknya bagus deh grafiknya mantap karena,1
game ini bagus aku suka karena kita bisa punya teman yang banyak dan ada teman mabar,1
game burik kadang tidak bisa di tekan dan banyak bug nya juga musuh nya tidak setara sama skill kita,1
saya kasih bintang soalnya banyak bug yang saya tidak suka biasa nya kalau lagi di loby tiba timeout atau jaringan nya kalau masang glowall sering tidak berfungsi kadang kalau baru login hampir semua bundle tidak bisa di unduh padahal terakhir main bisa di pakai mohon di perbaikan ya garena biar gratis fire makin bagus dan tidak buriq amat,1
ini kok epep kenapa ya tidak bisa login padahal kouta ada jaringan pun lancar aneh banget,1
suka banget seruu makin banyak pembaruan,1
garena tolong benerin epep nya masa habis apdet bukannya makin bagus bahkan ngepris tolong segera di perbaiki,1
game nya rusak dalam satu hari ini aku main pelayanan pelanggan total kalah x total menang x garena tolong kalau memberikan tim tu yang benar jangan di kasih yang bot terus kalau main pelayanan pelanggan capek saya nya sekali musuh seperti ruok,-1
game nya sanget seru jadi ini game selalu di hati saya,1
yang imbang dong masa rank saya naik nya sedikit pas mati berkurangnya banyak padahal kil saya di atas terus,-1
game burik bngstt signal bagus wifi lancar handphone bukan spek kentang tapi selalu membaca informasi permainan mending tidak usah bikin game kalau tidak bisa menyediakan pelayanan yang bagus buat penggunanya,1
bagus tapi rada ada bug,-1
minimal kenapa penyakit yang dahulu kok balik lagi sih minimal jaringan sudah bagus buat main game semuanya lancar eh pas buka ep bahkan stuck di loading dan tidak bisa lagi tolong perbaikin dong minimal,-1
