userName,score,at,content
Pengguna Google,5,2024-12-16 13:22:47,Kalo main cees pasti timnya pasti beronze padahal aku heroit memang bagus apdet nya tapi diperbaiki. Contoh. Beronzelawan beronze kek
Pengguna Google,2,2024-12-16 13:21:52,Garena jangan separti ini saya sudah selesai donload center tapi disuruh donload lagi dari awal jangan seperti ini garena
Pengguna Google,2,2024-12-16 13:19:51,"umm , gimana ya jelasin nyaa?? klo malam suka ngelag² sendiri kenapa yh?? padahal sinyal bgus dan lancar lohh!! tolong perbaiki . tolong band citer dan yg memakai file . satu lgi , ketika saya bermain cs-ranked knp saya tiba² di mute?? whyy???"
Pengguna Google,4,2024-12-16 13:19:14,"garena, kok akun aku gabisa main csr dan br setelah update? kecuali pas login ulang. akun aku kalau login gabisa langsung ke br ataupun csr, harus login ulang dulu baru bisa main br dan csrnya. itu kenapa garena?"
Pengguna Google,1,2024-12-16 13:12:06,saya saat bermain game ini saya merasakan ngelag parah padahal kouta saya masih banyak ngelagnya itu pas ketemu musuh lagi toolng garena di kondisikan yaa!!
Pengguna Google,5,2024-12-16 13:11:15,Tolong kasih musuh sama tim yang seimbang gue menang 4× dan mvp semua tapi pas main lagi 4× kalah kan gak lucu
Pengguna Google,2,2024-12-16 13:04:55,"Game taiii Sinyal bagus tiba tiba 999+ sinyalnya, padahal sinyal hp saya bagus banget game burix bodoooooo malas maen kalo kek gini"
Pengguna Google,1,2024-12-16 12:49:02,Banyak pemain cheat aku mau ge kill musuh masa musuh nya nggak mati2 bagai mana game mu garena pls sya pegen naik rengk lol garena tolol gw terus kalah garena gentot
Pengguna Google,4,2024-12-16 12:42:44,Tambahkan fitur ganti kamera atau ubah posisi kamera atau semacam fov kamera gitu biar sensasi bermain game ini berbeda yang pasti tidak menghilangkan kualitas asli game ini
Pengguna Google,1,2024-12-16 12:38:57,Garena tolong lah sinyalnyaa ngeleg mulu kalo ada musu ngeleg tapi kalo gak ada musuh gak ngeleh game burik bandel old juga di kluari player old pada pensi tuh akun ke heck dan lain lain dulu kulgar di pecat sekarang ganti apa lah tu ta jelas mending kulgar
Pengguna Google,2,2024-12-16 12:37:43,Garena plis lah di benerin bug sinyal merah terus dari awal game sampe akhir game merah terus padahal jaringan lagi bagus bagus nya
Pengguna Google,1,2024-12-16 12:34:36,Free fire ga seru mata gua jadi sakit tolong awannya di ganti jadi putih lagi garena flis flis biar seru lagi mata gua jadi sakit main nya awannya itu di ganti garena jadi putih lagi
Pengguna Google,1,2024-12-16 12:23:06,kalau di update jangan map nya doang yg di perbarui jaringan nya juga masa saya nonton bagus aja jaringan nya giliran main ff turun naik terus pin nya gak jelas gem ff nya padahal penyimpananku gak penuh loh kok masih ngelag ya agak lain nih ff jadi malas saya main kalau kyk gini mah mending apus aja gem gak jelas
Pengguna Google,4,2024-12-16 12:21:45,"Request GARENA,tolong dong di update baju yg bisa di edit nama sendiri pasti lebih keren,"
Pengguna Google,4,2024-12-16 12:21:34,"tolong adakan fitur pengurangan efek, agar penggunaan HP ram 3/2 bisa main dengan nyaman,penyimpanan udh lega tapi tetap patah patah, tolong optimalisasi kan lagi, dan kurangi efek yg bertimbul besar"
Pengguna Google,5,2024-12-16 12:20:31,Kenapa saya kasih bintang lima karena dia seru dan bisa Mabar dengan teman teman dan bisa top AP dan banyak bandel baru dan bagus bagus dan bisa byon juga dan banyak map map yang lain seperti kalahari nekstera Bermuda dan banyak lagi yang lain
Pengguna Google,5,2024-12-16 12:19:52,tolong hp saya sering lag and patah jadi gem ini ringanin
Pengguna Google,4,2024-12-16 12:15:03,Sekarang kasih bintang 4 dulu karena ini ada bug ff tombol glow wal nya kok ilang ku periksa periksa tetap aja tolong diperbaiki bug nya (bug nya ditraining aku temukan)
Pengguna Google,1,2024-12-16 12:11:01,Gem cepat lemot atau patah patah dan kalau logen lama bagai mana cara tidak getuh
Pengguna Google,4,2024-12-16 12:09:08,"Klo ada tim afk atau keluar paksa pliss kasih shield buat rank ga turun temurun trus buat BR. Cma pemberitahuan mah kurang, jujur, agak kesel ma org"" Yg tukang afk, klo ada yg suka afk lbih dri 3/4 kli, di hukum aja gabisa main BR 24 jam, hukuman bgi saya itu terlalu rendah yang sudah ditetapkan, ini rekomen biar yg udh semangat naikin rank dpet kenyamanan shield, dn juga klo dpet kill tpi mati di wktu dekat, ksih bonus tambahan rank agar tidak menyebabkan kurangnya pemain."
Pengguna Google,3,2024-12-16 12:02:35,Min tolong update nanti diperbaiki es kepal ny saya sudah otomatis tapi pas saya pencet kadang mau kadang tidak tolong ya
Pengguna Google,3,2024-12-16 11:43:39,"Ko kalo abis update besar besaran jadi aneh ya ? , kaya akun ga bisa login walauu udah coba berkali kali tapi tetep gabisa tiba tiba ada tulisan "" login SUCCESS "" TOLONG DI PERBAIKI jadi saya kasih bintang 3."
Pengguna Google,1,2024-12-16 11:30:40,Min tolong di perbaiki ya ( sering terjadi membaca info game / isu jaringan ) padahal buat yt dll itu lancar tapi kenapa pas login FF itu trjadi membaca info game itu sangat mengangu karna gak bisa main samasekali
Pengguna Google,4,2024-12-16 11:19:41,Gamenya bagus sihhh tapi ada beberapa bug yang bikin aku kesel pertama paketan udh ada tapi jaringan nya merah ke dua patah² ke tiga suka download fails tolong di perbaiki pihak Garena
Pengguna Google,5,2024-12-16 11:13:15,Gamenya seru banget dan banyak juga pilihan nya
Pengguna Google,2,2024-12-16 11:00:25,Tolong garena hilang kan lah bug bug setiap kali gua main langsung keluar dari area pertempuran dan kalo lagi ada musuh jarigan 999+ kalo udh mati bagus udh jariganya tolong update nanti makin bagus ya 🙏🙏
Pengguna Google,5,2024-12-16 10:55:43,gem ini sangat seru bisa memiliki teman baru
Pengguna Google,2,2024-12-16 10:52:15,"Jadi gini,saya baru main setelah saya pensi beberapa tahun dan bikin akun baru, nah pas saya coba game ini rasanya beda banget. Saya masuk mode cs rank yang sekarang sudah rank gold,bertemu Player habis itu saya kalah malah dikasi bot.Gimana mau gg Player sekarang.Senjata beberapa kali tembak langsung knock ves udah saya upgrade sampai level 3 masih tembus, serasa cheater padahal bukan yang dulu bisa mekanik, sekarang malah langsung knock.Emang sesakit itu senjata sekarang.mohon diperbaiki🙏🙏🙏"
Pengguna Google,3,2024-12-16 10:43:39,Game ini sangat ada perubahan saya tidak mau main game ini dulu saya pernah main game ini sama teman teman saya tapi semenjak game ini di updet temen teman saya sudah tidak main game ini lagi zaman ff yang dulu tidaklah zaman sekarang banyak updet dulu seru sekarang gak seru dulu old sekarang new dulu seneng sekarang gak senang jadi tolong kembalikan lah ff yang dulu bukan yang sekarang
Pengguna Google,4,2024-12-16 10:40:50,"Seru sih tapi aku mohon aku mau melihat baju musuh skin senjata musuh dan emot musuh di BR-RANKED, CS-RANKED, TRAINING, SOSIAL ISLAND"
Pengguna Google,5,2024-12-16 10:20:18,"saya sangat suka dengan game ini, tetapi kok gak bisa pake bajunya sangat susah dan saya sudah mendownload slot ku yang kutelan miliki"
Pengguna Google,4,2024-12-16 10:18:55,Alasan kenapa saya kasih bintang 4 adalah..... Sering terjadi bug-bug yang sangat meresahkan dan mungkin mengganggu gameplay.
Pengguna Google,5,2024-12-16 10:18:06,"Min bikin versi pc dong, janji deh bakal main setiap hari [Kalau gk sibuk] pls ya"
Pengguna Google,2,2024-12-16 10:18:00,"Tolong perbaiki sistem match kalo bisa dibatasi oleh usia, karena kenapa? karena saya mengalami pengalaman yg tidak mengenakan, di game ini masih banyak player² yg masih dibawah umur dalam artian (BOCAH), saya sudah muak bertemu dengan player²/bocah² yg tidak memiliki attitude, dan yg terakhir kalo bisa item² terdahulu jangan di keluarkan lagi !!! Itu sangat merugikan player lama!!! Saya sebagai player yg bermain dari season 1 merasa dirugikan apabila item² lama dikeluarkan lagi! Cukup sekian"
Pengguna Google,2,2024-12-16 10:10:07,"Ini ff nih kalo gak berubah kayk dlu sih banyak yg gak main lagi dah, gw kasih tau ya itu set""dllnya kalo udah di donwload gak usah di ulang lah bikin emosi orang aja dah, gemnya bagus emang tapi ya, download "" Update "" , satu lagi nih itu pet nya gak bisa di ilangin klo ada di lobby, dan jangan sering "" Update dikit "" Update yaelah menyulitkan, tolong lah pengertian nya kita ini cuma mau main gem doang tanpa ada update, download ulang"" Keselllllll weee 😭😭😭Ini ff gw setia hari di update"
Pengguna Google,4,2024-12-16 10:10:03,Ini kok gak bisa main sih Garena game mu udah mulai error besok di perbaiki ya Garena kalo udah nanti aku main game mu lagi Garena ya udah bay
Pengguna Google,4,2024-12-16 10:07:50,Woi ini ff gua kenapa min malah server gagal terus parah si kecewa berat gua min Ama lu
Pengguna Google,5,2024-12-16 09:52:43,Game yang dapat menghilang kan ke gabut an pokok nya bagus dan dapat menghibur
Pengguna Google,2,2024-12-16 09:36:07,"Tolong dong klo lg war jangan tembus² glowal musuhnya, dan juga musuhnya anj ga setara ngasih tim ga setara juga"
Pengguna Google,4,2024-12-16 09:28:30,Game yang cocok saat sedang menunggu sesuatu.. jadi pas ada perlu bisa dimatikan karakternya.. tanpa kayak ml harus menang atau defeat sue
Pengguna Google,4,2024-12-16 09:20:51,"garena knp saya pas pengen login tiba² akun fb saya bertulis tentang maaf,ada yang tidak beres tolong dibenarkan"
Pengguna Google,5,2024-12-16 09:06:51,Permainannya wow banget anjay gila gua mainin ini langsung jago anjir keren banget pokoknya permainan ini dari tadinya gua nggak bisa main ini dilatih latihan terus jadi bisa terus jago banget terusan sumpah sih udah nggak menghabiskan banyak kuota juga nggak malu-maluin data gila gila aaaaaaaaaaaaa
Pengguna Google,5,2024-12-16 09:05:20,Game nya bagus banget kalok ada update ja di tambah bagus banget
Pengguna Google,1,2024-12-16 08:54:05,"Penyepong JKT48 anj adminya , kapan majunya tu game kalo EVENTNYA JKT48 MULU tolol liat game lain udah Collab sama beberapa top lah ini JKT48 terus bosen bdo mikir , kalau ngasih temante jangan yang bot dong game kikir"
Pengguna Google,3,2024-12-16 08:53:23,Tolong lah Garena jangan ada bug lagi lahh
Pengguna Google,4,2024-12-16 08:52:18,"sebenernya grafik,game,dll dari free firenya udah cukup oke,tapi ada dua keluhan yang bikin sedikit ribet,yang pertama adalah,biasanya kalo nggak dimainin semingguan,kayak.harus nungguin dari 0% ke 100% dan,itu yang bikin paling males,dan keluhan kedua,kalo update biasanya bundle bundle yg aku beli tu hilang,entah karena lag atau memang disengaja dari pihak developer free firenya,jadi untuk kali ini aku kasih bintang 4 dulu,sampai semua lag/bug ini berakhir,thank youu untuk developernyaa........"
Pengguna Google,2,2024-12-16 08:28:24,"game ini sangat bagus, tpi knp ya Garena saya kalo nyepin tidak pernah hoki?"
Pengguna Google,5,2024-12-16 08:24:38,𝑔𝑎𝑚𝑒 𝑖𝑛𝑖 𝑠𝑎𝑛𝑔𝑎𝑡 𝑠𝑒𝑟𝑢 𝑑𝑎𝑛 𝑚𝑒𝑛𝑎𝑟𝑖𝑘
Pengguna Google,1,2024-12-16 08:04:05,Tolong lah min sinyal nya di perbaiki
Pengguna Google,5,2024-12-16 07:43:17,"Plis lah FF dari segi gameplay udah enak lo. Cuma kenapa dari dulu sampai sekarang masih aja bug damage, padahal jaringan bagus, hp bagus. Tolong di fixs bug damage"
Pengguna Google,2,2024-12-16 07:38:42,"Ff makin lama makin burik jir, kenapa? Karena ke banyak bet yang pake file jadi susah buat lawan nya, tambah lagi pake laba laba anjg, garena tolong lah burik bet nih game."
Pengguna Google,5,2024-12-16 07:32:09,game ini seru dan mudah dimain kan kecuali jika musuhnya pro player kenapa saya mengasih bintang 5 karena saya suka free fire saya mau Garena membuat game ini lebih seru untuk menjadi game nomor 1 di play store tapi beberapa tahun yang lalu saya kesal dengan game ini karena tim/team saya tidak jago main
Pengguna Google,1,2024-12-16 07:23:35,Login langsung ada bacaan membaca info geme
Pengguna Google,5,2024-12-16 07:11:31,saya sangat suka bermain epep sampai sekarang. dulu saya tidak pernah bermain epep saya tau nya denger orang main aja sekarang. sya sangat suka dengan epep .terimakasih epep. ahirnya sya menemukan gemes yang sya suka 😁 .terimakasih epep
Pengguna Google,3,2024-12-16 07:06:05,"min maaf bgt ngsih bintang3 min tolong honor score ny di ilanginn, soal ny ak kpngn main tpi gbisa gara² honor score🙏🏻"
Pengguna Google,1,2024-12-16 06:58:38,Game bagus tapi jangan kasi team yang egois dong
Pengguna Google,1,2024-12-16 06:58:12,Gua pas main gak taunya ngebuk gak bisa main renked
Pengguna Google,5,2024-12-16 06:53:54,bagus sih cuma kadang ngelag tapi gpp lah dan juga kalo nambahin set gratisan itu yg bagus Garena yg lucu
Pengguna Google,5,2024-12-16 06:53:23,grafik nya sangat baik
Pengguna Google,4,2024-12-16 06:44:49,Ff gua kenapa ya kalau login tulisan nya maat error padahal saya punya paketan dan pakai wivi kok tidak bisa Garena mati
Pengguna Google,5,2024-12-16 06:37:55,Gamenya bagus tapi ada kendala aku mau piperbarui
Pengguna Google,1,2024-12-16 06:37:07,"game nya burik banyak bocil new yang make skill isi HP dimohon di nerf, game bot kntl"
Pengguna Google,5,2024-12-16 06:35:51,bagus dan grafik nya hd
Pengguna Google,2,2024-12-16 06:28:26,"Sebenernya sih game nya gak ada yang salah, cuman yang gw permasalahin itu sistem report nya cok pas dibagian sabotase tim lah pokok nya, ya kalo lu dapet tim beban kan pasti di report sengaja kalah ya, nah itu dia cok yang gw permasalahin rata-rata gw report sengaja kalah ke tim gw yang beban itu gak kena pelanggaran mulu jir tolong lah garena gw udah muak, tapi giliran yang ""AFK"" doang mah langsung kena😮‍💨, saran gw kasih lah pilihan report nya yang lain kek, misal tim BEBAN gitu aja dari gw"
Pengguna Google,1,2024-12-16 06:25:57,"Gemenya suka ngefris, akun kena bened tanpa sebab, suka pata pata, ngehabisin dm juga, karakter skill kadang kali ngak bisa aktif, dan ngak bisa di geser kameranya, tolong di perbaiki yah🙏"
Pengguna Google,4,2024-12-16 06:24:50,Tolong wiffi pribadi gua bagus main epep sinyal 50 tapi mencet skilll delayy tolongg perbaiki skarang
Pengguna Google,1,2024-12-16 06:20:37,"sistem rank ff ini nggak ada otaknya, naik poin cuma dikasih recehan, tapi kalau turun langsung dirampok habis-habisan. kayak gini cuma bikin pemain jadi budak sistem yang nggak adil."
Pengguna Google,2,2024-12-16 06:18:33,"Knpa akun kena blacklist padahal ga pernah pakai chit cuma main biasaa..layanan punn tidak di respond olehh Garena akun satu""nya malah di blacklist salah nya darimana Garena??"
Pengguna Google,4,2024-12-16 06:18:09,menurut saya pas apdet nya lama dan masih banyak bug gak tau knp bisa kayak gini tpi setelah updet sekarang makin bagus aja ya lama lama banyak yang jago
Pengguna Google,1,2024-12-16 06:06:29,"lakukan update pada shop, agar item di shop tidak itu² saja"
Pengguna Google,1,2024-12-16 05:50:13,"Apalah game ga guna,gue main cs dapet tim ga bisa main semua njing,kalo bikin game itu yang bener,mana grafiknya burik lagi😡😡🤬"
Pengguna Google,5,2024-12-16 05:42:00,"Garena pliss kembalikan peak old,kulgar,elit pass,item old atau evo gun jangan dikeluarkan lagi cukup 1 kali,bissmillah dijawab biar semua orang comback"
Pengguna Google,1,2024-12-16 05:23:03,Cit Garena game gak jelas padahal aku sudah di balik tembok tapi masih bisa di tembak
Pengguna Google,1,2024-12-16 05:19:59,👎👎👎👎🤬🤬🤮👎🤣 ha enak dan lezat yang bisa kita untuk aku nggak mau jual mobil kesayangan anda ingin mengetahui ada tidaknya sebuah bintang kalian harus sekali dengan bang jali versi bang jali versi Indonesia video lyrics here at least once again at least once again the free version of this research di rumah makan dulu pernah ada yang biru muda di mana ia ingin sekali rasanya ada hantu tadi ada yang biru muda biru dan putih di wajah Anda lebih menyukai cara di rumah kosong bang bang telafall
Pengguna Google,5,2024-12-16 05:13:47,Game bagus banget cocok ya sering kesepian mainkan game ini
Pengguna Google,5,2024-12-16 05:04:09,game ini membuat rasa stress ku hilang ayo plss Ada event bagi bagi diamond
Pengguna Google,1,2024-12-16 04:50:34,Sumpah padahal udah ganti ff tapi malah gak bisa main rank sama aja kaya di ff max terus gak bisa masuk loading lama bgt perbaiki bug nya deh gak bi sa main rank lagi..pokoknya harus di perbaiki.. 😤😠😡
Pengguna Google,5,2024-12-16 04:49:01,"Game nya seru bisa mabar bareng temen,kalo bisa seloby 5 orang ya min biar tambah seru hehe"
Pengguna Google,1,2024-12-16 04:49:00,Ff udah ga kaya dulu lagi udah ga seru makin hri bukannya makin bagus makin jelek dan bundel old sering di keluarin lagi seperti God royal di keluarin tolong Garena jangan keluarin bundel old aku tau pasti player new ingin merasakan bundel old tpi jangan di keluarin niru aja ff udah ga seru lagi 😞☹️
Pengguna Google,1,2024-12-16 04:45:33,Masih ada bug yang sangat mengganggu dan sinyal-nya terus- terusan merah aneh banget😡😡😡😡😡
Pengguna Google,5,2024-12-16 04:32:41,"Ini game kesukaan gw, gw main sampe begadang ini ril bagus walaupun gk ada pintu tapi ini bagus mirip game kesukaan gw yaitu perang"
Pengguna Google,5,2024-12-16 04:05:23,permainannya bagus tapi kenapa ngga ada pintunya 🙏🙏🙏🙏🙏🙏
Pengguna Google,3,2024-12-16 03:30:05,"semenjak update, peredam sama muzzle 3, attachment tidak setara muzzle 3 yang terpasang otomatis terganti dengan peredam. tolong ya min gak semua orang suka pakai peredam, saya pakai mp 5 buat jarak dekat kalo lewat looting muzzle langsung ke ganti sama peredam dan itu mengurangi damage. saya player merasa terganggu. kembalikan seperti dlu ""muzzle 3 setara dengan peredam"""
Pengguna Google,5,2024-12-16 03:28:46,sangat menhibur dan mudah di akses
Pengguna Google,5,2024-12-16 03:17:47,ff sangat enak untuk di mainkan dan mabar sama teman
Pengguna Google,5,2024-12-16 03:13:34,Game ini bagus dan tapi tolong kalo apdet lagi game nya harus bisa offline dan online
Pengguna Google,4,2024-12-16 03:04:59,"Gua kira bakal ngebug kayak yg dlu,rupanya kebalikan nya tapi untuk ini ada 1 kekurangan,kenapa semua harus pake dm,top up ,dll."
Pengguna Google,4,2024-12-16 02:47:41,Padahal game nya bagus pas balik main game ini lagi tiba tiba saya gk bisa masuk ke akun saya lagi kata nya akun ku ada aktivitas abnormal padahal belum ku mainin
Pengguna Google,1,2024-12-16 02:26:22,Sosialnya dibenerin lah min masak 5 kali masuk sosial itu Mulu orngnya ga seru min jadi bosen main ni game Terimakasih
Pengguna Google,1,2024-12-16 02:01:42,bug damage nya tolong di ilangin ya
Pengguna Google,3,2024-12-16 02:01:41,"akun ku ilang Cok padahal semalem masih ada pas aku mau masuk ke akun google tiba tiba ada tulisan ""UNKNOWN ERROR"" tolong Garena balikin akun aku, aku dh rawat akun itu dari tahun 2022 lu gak kasian Ama gw masih bocil SD kehilangan akun yang dh gw top up in hampir sejuta?👊🏻😔"
Pengguna Google,3,2024-12-16 01:53:04,"Kenapa free fire sekarang jadi tambah nge lag, bukan lag layar ataupun di lobby tapi lag di gameplay, ketika saya di tembak musuh pun sinyal naik dan kemudian menjadi merah. Padahal sinyal di hp saya normal dan baik² saja, hanya itu. Mohon bantuannya"
Pengguna Google,1,2024-12-16 01:52:27,"Mau tanya tadi aku main rank tiba"" Tereliminasi terus ada bacaan di eliminasi oleh sistem karena prilaku abnormal padalah gua gak pake bantuan kayak chet atau apa lah tapi kok bisa gini gak jelas anjir parahhh"
Pengguna Google,5,2024-12-16 00:34:59,sangat seru dan menyenangkan dalam game yang baru seperti witerlend
Pengguna Google,1,2024-12-15 23:33:14,Tolol banget sumpah semakin di perbarui semakin gak bisa di mainin
Pengguna Google,5,2024-12-15 22:52:28,game ini sangat bagus dan di sukai semua org Terima kasih Garena sudah membuat FF
Pengguna Google,1,2024-12-15 22:42:52,Aku cuma kasih bintang satu karena ada tulisan starting terus di ep ep gue gak guna tau gak Tolong di perbaiki lagi contoh hacker di ilangin gue jadi bronze abadi
Pengguna Google,3,2024-12-15 22:32:27,Bintang 3 dulu de soalnya kalo lama kelamaan ngelet jaringannya biar ngga Mera tetap pata2
Pengguna Google,3,2024-12-15 22:02:25,Apaan dah pas main br mode 4 malah jadi solo udah nunggu 2 menit lagi gajelas
Pengguna Google,5,2024-12-15 21:15:42,Gem ya seru tapi ngelek dan yepin ya susah banget ga dapet²
Pengguna Google,1,2024-12-15 21:08:11,kenapa setelah update aim nya jadi aneh min serius ini
Pengguna Google,5,2024-12-15 20:47:08,Uda headshot tapi damage ga kehitung dan masuh ga mati.
Pengguna Google,5,2024-12-15 16:37:24,Bagus tapi kadang nge lag garena tolong perbaiki sistem naik turunnya ping
Pengguna Google,3,2024-12-15 16:14:10,"Tolong diperbaiki lagi Bug, Cheat dan report nya. Menurut saya perlu sangat ditindak lanjuti dan diberikan sanksi tegas kepada pemain yang bersikap tidak sopan dan merugikan. Banyak sekali player yang bersikap, bertutur dan berperilaku tidak baik bahkan tidak senonoh dan menjurus hal"" 18+. Mohon lebih ditindak lanjuti dan dioptimalkan lagi."
Pengguna Google,5,2024-12-15 16:09:16,Bagus aku suka walaupun ga ada pintu pokok nya bagus
Pengguna Google,2,2024-12-15 15:59:04,sangt menghibur dan bisa menghilangkan stres
Pengguna Google,5,2024-12-15 15:57:48,"Kok kalo udah di update akun aku hilang ya , tolong dong itu kenapa🧐"
Pengguna Google,2,2024-12-15 15:57:35,Membosankan ff evenya gak ada prubahan udah mah di batas naikin skor honornya.bosenn cba tolong dong di batesnya 10 ke 7 ke jngan sdikit
Pengguna Google,1,2024-12-15 15:52:00,bagus tapi bug demeg dihilangkan dan respon analognya di perbaiki kadang ketika masang glowal analog nya ikut mencet padahal gk di pencet tolong sekali garena du perbaiki se maksimal mungkin🙏🏻
Pengguna Google,5,2024-12-15 15:40:55,aku sangat menikmati permainan in cmn syg nya aun aku kan bl tolong di lepaskn bl nya garena
Pengguna Google,5,2024-12-15 15:39:49,ya ini game favorit aku aku kasih bintang 5 kalo Garena mau ngasih Diamond aku GPP se ikhlas nya
Pengguna Google,5,2024-12-15 15:38:09,garena aku pingin ff seper tidulu lagi sekarang aku sedih 😭😢😵😷karna ff sudah tak sepeti dulu lagi
Pengguna Google,5,2024-12-15 15:09:32,tolong Garena di update lagi dan kasih emot gratis makasih ya Awakening gratis nya
Pengguna Google,1,2024-12-15 14:41:56,Jaringannya diperbaiki admin masa jaringan bagus tiba2 ping999+ kan ngawor banget servernya tolong klo sudah diperbaiki baru review b5
Pengguna Google,1,2024-12-15 14:35:10,"WiFi lancar tapi giliran main game suka ngeleg demage gak masuk, apa lagi seluncuran aneh nya lompat dikit auto seluncuran."
Pengguna Google,3,2024-12-15 14:32:17,"selama update kalo saya main ko stak ya, tolong di perbaiki secepatnya"
Pengguna Google,2,2024-12-15 14:32:13,Ini gimana masa iya gw d hukum gak bisa on mic sama wishper gimana ceritanya Garena kalo mau nurunin honor sekor ok lah gw juga salah karna gw afk tapi kalo gak bisa on mic mending mikir mikir lagi sebelum banyak yang pensi lagi
